"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"6:17:25.8147769 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\UIAutomationCore.dll","SUCCESS","Image Base: 0x7ffe312c0000, Image Size: 0x449000"
"6:17:25.8188417 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\sxs.dll","SUCCESS","Image Base: 0x7ffe44560000, Image Size: 0xa3000"
"6:17:25.8321928 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\efswrt.dll","SUCCESS","Image Base: 0x7ffe1ade0000, Image Size: 0xd0000"
"6:17:25.8530689 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\TextInputFramework.dll","SUCCESS","Image Base: 0x7ffe326b0000, Image Size: 0x143000"
"6:17:25.9396273 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\ApplicationTargetedFeatureDatabase.dll","SUCCESS","Image Base: 0x7ffe1a800000, Image Size: 0x4b000"
"6:17:25.9414701 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\globinputhost.dll","SUCCESS","Image Base: 0x7ffe3a360000, Image Size: 0x29000"
"6:17:25.9602877 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\directmanipulation.dll","SUCCESS","Image Base: 0x7ffe32610000, Image Size: 0x9d000"
"6:17:25.9658188 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\MsSpellCheckingFacility.dll","SUCCESS","Image Base: 0x7ffe356a0000, Image Size: 0x123000"
"6:17:25.9673782 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\userenv.dll","SUCCESS","Image Base: 0x7ffe43cf0000, Image Size: 0x28000"
"6:17:25.9726363 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\ELSCore.dll","SUCCESS","Image Base: 0x7ffe29f00000, Image Size: 0x19000"
"6:17:25.9762430 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\elsTrans.dll","SUCCESS","Image Base: 0x7ffe3b270000, Image Size: 0xd000"
"6:17:26.0247375 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\xmllite.dll","SUCCESS","Image Base: 0x7ffe40e40000, Image Size: 0x37000"
"6:17:26.0745602 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\wtsapi32.dll","SUCCESS","Image Base: 0x7ffe435b0000, Image Size: 0x14000"
"6:17:26.0762149 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\winsta.dll","SUCCESS","Image Base: 0x7ffe44610000, Image Size: 0x66000"
"6:17:26.1366337 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\CoreUIComponents.dll","SUCCESS","Image Base: 0x7ffe3d0e0000, Image Size: 0x36d000"
"6:17:28.9047182 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\dui70.dll","SUCCESS","Image Base: 0x7ffe0bf80000, Image Size: 0x1bc000"
"6:17:28.9067518 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\duser.dll","SUCCESS","Image Base: 0x7ffe12160000, Image Size: 0x99000"
"6:17:28.9557453 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\ExplorerFrame.dll","SUCCESS","Image Base: 0x7ffe295a0000, Image Size: 0x2b4000"
"6:17:28.9784272 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\WindowsCodecs.dll","SUCCESS","Image Base: 0x7ffe41a10000, Image Size: 0x1b1000"
"6:17:28.9930861 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\thumbcache.dll","SUCCESS","Image Base: 0x7ffe28700000, Image Size: 0x6a000"
"6:17:29.0371518 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\policymanager.dll","SUCCESS","Image Base: 0x7ffe3e3b0000, Image Size: 0xa5000"
"6:17:29.0384156 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\msvcp110_win.dll","SUCCESS","Image Base: 0x7ffe3e310000, Image Size: 0x93000"
"6:17:29.0781043 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\msftedit.dll","SUCCESS","Image Base: 0x7ffe24d70000, Image Size: 0x375000"
"6:17:29.0888471 PM","Notepad.exe","7592","Load Image","C:\Program Files\Common Files\microsoft shared\ink\tiptsf.dll","SUCCESS","Image Base: 0x7ffe1ac60000, Image Size: 0xa0000"
"6:17:29.0907445 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\atlthunk.dll","SUCCESS","Image Base: 0x7ffe204a0000, Image Size: 0xe000"
"6:17:29.1353495 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\apphelp.dll","SUCCESS","Image Base: 0x7ffe40360000, Image Size: 0x97000"
"6:17:29.1395652 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\networkexplorer.dll","SUCCESS","Image Base: 0x7ffe2b780000, Image Size: 0x1a000"
"6:17:29.1471843 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.System.Launcher.dll","SUCCESS","Image Base: 0x7ffe38d80000, Image Size: 0x13b000"
"6:17:29.1660453 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.FileExplorer.Common.dll","SUCCESS","Image Base: 0x7ffe27a00000, Image Size: 0xb6000"
"6:17:29.1681794 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\linkinfo.dll","SUCCESS","Image Base: 0x7ffe2d510000, Image Size: 0xd000"
"6:17:29.2148478 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\OneCoreCommonProxyStub.dll","SUCCESS","Image Base: 0x7ffe335d0000, Image Size: 0xb0000"
"6:17:29.3357835 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\edputil.dll","SUCCESS","Image Base: 0x7ffe32260000, Image Size: 0x28000"
"6:17:29.3859393 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\StructuredQuery.dll","SUCCESS","Image Base: 0x7ffe35fb0000, Image Size: 0xbc000"
"6:17:29.4446873 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\windowsudk.shellcommon.dll","SUCCESS","Image Base: 0x7ffe31890000, Image Size: 0x577000"
"6:17:29.4567823 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\sspicli.dll","SUCCESS","Image Base: 0x7ffe43a50000, Image Size: 0x43000"
"6:17:29.6080736 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\twinapi.dll","SUCCESS","Image Base: 0x7ffe2bc20000, Image Size: 0xca000"
"6:17:29.7104565 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\coml2.dll","SUCCESS","Image Base: 0x7ffe46c20000, Image Size: 0x7d000"
"6:17:29.7957036 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.Storage.Search.dll","SUCCESS","Image Base: 0x7ffe32290000, Image Size: 0xec000"
"6:17:29.8462810 PM","Notepad.exe","7592","Load Image","C:\Users\User\AppData\Local\Microsoft\OneDrive\24.201.1006.0005\FileSyncShell64.dll","SUCCESS","Image Base: 0x7ffe0ac40000, Image Size: 0x1d4000"
"6:17:29.8479731 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\secur32.dll","SUCCESS","Image Base: 0x7ffe435d0000, Image Size: 0xc000"
"6:17:29.8480046 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\wininet.dll","SUCCESS","Image Base: 0x7ffe38580000, Image Size: 0x4fe000"
"6:17:29.8482284 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\version.dll","SUCCESS","Image Base: 0x7ffe3ff40000, Image Size: 0xa000"
"6:17:29.8896235 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\EhStorShell.dll","SUCCESS","Image Base: 0x7ffe25b90000, Image Size: 0x37000"
"6:17:29.8897743 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\setupapi.dll","SUCCESS","Image Base: 0x7ffe45fc0000, Image Size: 0x474000"
"6:17:29.8951961 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\cscui.dll","SUCCESS","Image Base: 0x7ffe25ab0000, Image Size: 0xd2000"
"6:17:31.9613654 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.StateRepositoryPS.dll","SUCCESS","Image Base: 0x7ffe32380000, Image Size: 0xeb000"
"6:17:34.2158634 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.UI.Core.TextInput.dll","SUCCESS","Image Base: 0x7ffe31710000, Image Size: 0x178000"
